=================
   year
=================
Amount,Asset,Date Acquired,Date Sold,Cost Basis,Proceeds -- Price Sold,Exchange Bought,Exchange Sold
413.11316,ADA,-INTEREST-,2020-12-31,0,125.8,ledger,
49.914000000000000,LINK,2020-06-24,2020-12-28,234.464526180000000,617.3388477,COINBASE,COINBASE
30.370000000000000,LINK,2020-07-31,2020-12-28,238.375648500000000,375.6176785,COINBASE,COINBASE
62.950000000000000,LINK,2020-08-18,2020-12-28,1038.807195000000000,778.5687475000001,COINBASE,COINBASE
56.766000000000005,LINK,2020-08-18,2020-12-28,1225.910000000000025,927.8667608000001,COINBASE,COINBASE
4593.000000000000000,XRP,2019-12-14,2020-12-26,999.818019000000000,1343.5938230769232,COINBASE,COINBASE
697.000000000000000,XRP,2020-03-14,2020-12-26,105.072750000000000,203.89394615384617,COINBASE,COINBASE
214.000000000000000,XRP,2020-03-14,2020-12-26,32.260500000000000,62.601584615384624,COINBASE,COINBASE
996.0,XRP,2020-03-14,2020-12-26,641.290500000000000,150.147,COINBASE,COINBASE
0.849194900000000,ETH,2017-09-02,2020-12-23,310.077999601733925,515.0549038835713,COINBASE,COINBASE
1.000000000000000,ETH,2017-12-14,2020-12-23,714.000000000000000,606.5214285714285,COINBASE,COINBASE
1.000000000000000,ETH,2018-01-17,2020-12-23,888.210000000000000,606.5214285714285,COINBASE,COINBASE
1.010000000000000,ETH,2018-03-15,2020-12-23,607.310000000000000,612.5866428571428,COINBASE,COINBASE
0.400000000000000,ETH,2018-03-29,2020-12-23,176.176000000000000,242.6085714285714,COINBASE,COINBASE
0.990000000000000,ETH,2018-05-22,2020-12-23,625.521451500000000,600.4562142857142,COINBASE,COINBASE
0.401156650000000,ETH,2019-12-06,2020-12-23,59.063296471125000,243.31010443892853,COINBASE,COINBASE
1.3496484500000006,ETH,2020-03-01,2020-12-23,902.389500000000000,297.0508756027502,COINBASE,COINBASE
0.193868,BTC,2017-06-21,2020-11-05,343.46809275710046,539.4437668229498,COINBASE,COINBASE
11.262000000000000,LTC,2017-09-15,2020-11-05,600.110410672181940,615.3518605746585,COINBASE,COINBASE
1.475999999999999,LTC,2017-12-22,2020-11-05,385.410000000000000,284.43257999999986,COINBASE,COINBASE
