Date (Y-M-D),Operation,Asset,Amount,Price,Exchange
2013-01-13,BUY,BTC,4,54.96,Coinacopia
2021-01-01,SELL,BTC,0.19705,5693.87,crypto.com
2021-01-01,BUY,XRP,18000.0,4390.81,crypto.com
2021-01-10,SELL,LINK,253.2795,4441.68,crypto.com
2021-01-10,BUY,XRP,14000.0,5073.85,crypto.com
2021-01-10,BUY,ADA,14000.0,4743.69,crypto.com
# SWAP = SELL then BUY
2021-04-12,SELL,ETH,35.53,???,crypto.com
2021-04-12,BUY,LTC,309.94,???,crypto.com
# CRO/MCO ????
2021-01-13,BUY,XRP,2825.0,823.42,COINBASE
2021-01-13,BUY,LTC,6.0,779.78,COINBASE
2021-01-13,BUY,ETH,.78,789.71,COINBASE
2021-01-13,BUY,BTC,.025,822.66,COINBASE
2021-02-23,BUY,LINK,40.93,979.86,COINBASE
2021-02-23,BUY,LTC,6.03703965,990.04,COINBASE
2021-02-23,BUY,ETH,.68004269,990.00,COINBASE
2021-02-23,BUY,BTC,.022,991.89,COINBASE
2021-03-08,SELL,LTC,6.03703965,1154.06,COINBASE
2021-03-08,SELL,ETH,.68004269,1240.59,COINBASE
2021-03-08,SELL,BTC,.04701246,2443.75,COINBASE
2021-03-08,SELL,LINK,40.93,1289.77,COINBASE
# SWAP = SELL then BUY
2021-04-14.SELL,LTC,463.212,???,COINBASE
2021-04-14.BUY,BTC,1.93,???,COINBASE
# SWAP = SELL then BUY
2021-04-14.SELL,BTC,2.23,???,COINBASE
2021-04-14.BUY,ADA,97510.2,???,COINBASE
2021-04-16.BUY,LTC,10.0,2755.00,COINBASE
2021-04-16.BUY,ADA,4000.0,5004.00,COINBASE
2021-04-21.BUY,LTC,27.144,7000.00,COINBASE
# SWAP = SELL then BUY
2021-04-21.SELL,LTC,17.14380708,???,COINBASE
2021-04-21.BUY,BTC,.0821,???,COINBASE
2021-04-14.SELL,BTC,.08212580,4697.37,COINBASE
2021-04-14.SELL,ADA,2518.58,3368.71,COINBASE
2021-02-07,INTEREST,ADA,231.1,146.75,ledger
2021-02-07,INTEREST,ADA,227.9,257.53,ledger
2021-02-07,INTEREST,ADA,321.909951,418.48,ledger
# SWAP = SELL then BUY
2021-02-07.SELL,ADA,5305.0,3256.51,https://coinswitch.co/
2021-02-07.BUY,LTC,21.837,3256.51,https://coinswitch.co/
# SWAP = SELL then BUY
2021-03-11.SELL,LTC,96.0,???,https://coinswitch.co/
2021-03-11.BUY,ADA,1606.74,???,https://coinswitch.co/
# SWAP = SELL then BUY
