Date,Operation,Asset,Amount,Price,Exchange
2020-09-18,HAVE,ADA,10000.000000000000000,934.700000000000000,crypto.com
2020-09-11,HAVE,ADA,1595.000000000000000,154.249999999999585,crypto.com
2020-08-18,HAVE,ADA,6000.000000000000000,822.799999999998000,crypto.com
2020-07-03,HAVE,ADA,2000.000000000000000,186.900000000000000,crypto.com
2020-07-03,HAVE,ADA,2001.000000000000000,186.910000000000074,crypto.com
2020-09-02,HAVE,ADA,10000.000000000000000,1152.300000000000000,crypto.com
2020-08-28,HAVE,ADA,598.000000000000000,66.400000000000082,crypto.com
2020-08-28,HAVE,ADA,1000.000000000000000,110.650000000000000,crypto.com
2020-11-24,HAVE,ADA,3000.000000000000000,503.319999999999000,crypto.com
2020-12-03,HAVE,ADA,50.700000000000000,7.498530000000000,crypto.com
2020-07-16,HAVE,BTC,0.002326680000000,21.477408579000000,COINBASE
2020-07-16,HAVE,BTC,0.170484580000000,1573.730371636500000,COINBASE
2020-06-24,HAVE,BTC,0.150000000000000,1394.739000000000000,COINBASE
2020-06-13,HAVE,BTC,0.150000000000000,1413.282757500000000,COINBASE
2020-03-14,HAVE,BTC,0.200000000000000,1075.350000000000000,COINBASE
2020-03-01,HAVE,BTC,0.000257820000000,2.215641914100000,COINBASE
2020-03-01,HAVE,BTC,0.101000000000000,867.969255000000000,COINBASE
2017-06-21,HAVE,BTC,0.317305281700000,882.911859580050263,COINBASE
2017-07-08,HAVE,BTC,0.383359350000000,986.480000000000000,COINBASE
2017-07-19,HAVE,BTC,0.174259290000000,405.960000000000000,COINBASE
2017-08-17,HAVE,BTC,0.068935710000000,304.470000000000000,COINBASE
2017-08-22,HAVE,BTC,0.147414800000000,608.940000000000000,COINBASE
2017-09-02,HAVE,BTC,0.094534520000000,450.000000000000000,COINBASE
2017-09-15,HAVE,BTC,0.175925660000000,667.000000000000000,COINBASE
2017-11-30,HAVE,BTC,0.208265690000000,2000.000000000000000,COINBASE
2017-12-14,HAVE,BTC,0.100000000000000,1714.990000000000000,COINBASE
2017-12-22,HAVE,BTC,0.150000000000000,1728.860000000000000,COINBASE
2018-01-17,HAVE,BTC,0.100000000000000,1026.660000000000000,COINBASE
2018-02-01,HAVE,BTC,0.150000000000000,1386.910000000000000,COINBASE
2018-03-15,HAVE,BTC,0.110000000000000,897.800000000000000,COINBASE
2018-04-09,HAVE,BTC,0.190355321289000,1278.194775654300000,COINBASE
2018-03-29,HAVE,BTC,0.190000000000000,1493.400000000000000,COINBASE
2018-05-22,HAVE,BTC,0.120000000000000,953.162133600000000,COINBASE
2019-12-05,HAVE,BTC,0.130000000000000,965.503500000000000,COINBASE
2020-03-01,HAVE,BTC,0.004742180000000,40.753133085900000,COINBASE
2020-11-05,HAVE,BTC,0.042821879759575,655.235977987500000,COINBASE
2020-11-05,HAVE,BTC,0.006202351320425,94.904842012500000,COINBASE
2020-10-10,HAVE,BTC,0.045000000000000,512.250000000000000,COINBASE
2020-08-18,HAVE,BTC,0.150000000000000,1797.693750000000000,COINBASE
2020-07-31,HAVE,BTC,0.147000000000000,1667.965083750000000,COINBASE
2020-07-16,HAVE,BTC,0.044188740000000,407.902944784500000,COINBASE
2020-08-15,HAVE,CRO,372.878002600000000,62.650000000000000,crypto.com
2020-08-03,HAVE,CRO,4211.945360000000000,713.241467383823158,crypto.com
2020-09-25,HAVE,CRO,150.000000000000000,23.200000000000050,crypto.com
2020-11-28,HAVE,CRO,1109.103299000000000,77.419228000000000,crypto.com
2020-08-18,HAVE,ETH,4.000000000000000,1694.430000000000000,COINBASE
2020-09-18,HAVE,ETH,3.500000000000000,1361.619999999999999,COINBASE
2020-09-07,HAVE,ETH,1.000000000000000,349.570000000000000,COINBASE
2020-09-02,HAVE,ETH,3.500000000000000,1583.180000000000000,COINBASE
2020-03-14,HAVE,ETH,8.000000000000000,1021.080000000000000,COINBASE
2020-06-13,HAVE,ETH,4.000000000000000,949.363200000000000,COINBASE
2020-06-24,HAVE,ETH,0.682768340000000,160.154921208780000,COINBASE
2020-06-24,HAVE,ETH,3.817231660000000,895.396578791220000,COINBASE
2020-07-16,HAVE,ETH,9.000000000000000,2143.665000000000000,COINBASE
2017-09-02,HAVE,ETH,0.849194900000000,310.077999601733925,COINBASE
2020-08-02,HAVE,ETH,7.000000000000000,2504.460000000000000,COINBASE
2020-08-18,HAVE,ETH,3.000000000000000,1271.090000000000001,COINBASE
2020-11-01,HAVE,ETH,6.013700000000000,2327.628246145600000,COINBASE
2017-09-15,HAVE,ETH,2.516205100000000,666.000000000000001,COINBASE
2017-12-14,HAVE,ETH,1.000000000000000,714.000000000000000,COINBASE
2017-12-22,HAVE,ETH,1.500000000000000,810.830000000000000,COINBASE
2018-01-17,HAVE,ETH,1.000000000000000,888.210000000000000,COINBASE
2018-02-01,HAVE,ETH,2.000000000000000,2125.220000000000000,COINBASE
2018-03-15,HAVE,ETH,1.010000000000000,607.310000000000000,COINBASE
2018-03-29,HAVE,ETH,0.010000000000000,4.404400000000000,COINBASE
2018-03-29,HAVE,ETH,0.400000000000000,176.176000000000000,COINBASE
2018-03-29,HAVE,ETH,0.590000000000000,259.859600000000000,COINBASE
2018-05-22,HAVE,ETH,0.010000000000000,6.317796700000000,COINBASE
2018-05-22,HAVE,ETH,0.990000000000000,625.521451500000000,COINBASE
2019-12-06,HAVE,ETH,5.398843350000000,794.885203528875000,COINBASE
2019-12-06,HAVE,ETH,0.401156650000000,59.063296471125000,COINBASE
2020-03-01,HAVE,ETH,4.100000000000000,902.389500000000000,COINBASE
