#<sold>
#Date sold,Asset,Amount,Price sold for, date bought, price bought for,exchange sold on, exchange bought on, proceeds 
#<interesest> & BUY/have
Amount,Asset,Date Acquired (America/New_York),Date Sold (America/New_York),Cost Basis,Proceeds,Gain,Term
147.000000000000000,XLM,2020-06-13 21:40:15,2020-07-31 21:09:15,10.784655000000000,14.399204190000000,3.614549190000000,Short
500.000000000000000,XLM,2020-06-13 21:40:59,2020-07-31 21:09:15,36.682500000000000,48.976885000000000,12.294385000000000,Short
1353.000000000000000,XLM,2020-06-13 21:42:30,2020-07-31 21:09:15,99.262845000000000,132.531450810000000,33.268605810000000,Short
2000.000000000000000,XLM,2020-06-27 12:19:14,2020-07-31 21:09:15,130.650000000000000,195.907540000000000,65.257540000000000,Short
97.380000000000000,LINK,2020-06-14 01:50:01,2020-08-02 04:23:02,397.339614000000000,818.746695000000000,421.407081000000000,Short
2.620000000000000,LINK,2020-06-14 02:26:32,2020-08-02 04:23:02,10.690386000000000,22.028305000000000,11.337919000000000,Short
25.000000000000000,LINK,2020-06-24 20:42:52,2020-08-02 04:23:02,117.434250000000000,210.193750000000000,92.759500000000000,Short
500.000000000000000,MCO,2020-03-21 11:42:27,2020-08-03 08:04:50,2114.270000000000000,1975.047527792282000,-139.222472207718000,Short
21.134294500000000,MCO,2020-08-03 08:04:50,2020-08-03 08:04:50,0.000000000000000,83.482472207718045,83.482472207718045,Short
1000.000000000000000,CRO,2020-06-06 21:53:56,2020-11-01 13:29:09,104.010000000000000,84.860000000000000,-19.150000000000000,Short
12000.000000000000000,CRO,2020-06-17 11:29:10,2020-11-01 13:29:09,1383.740000000004000,1018.320000000000000,-365.420000000004000,Short
14406.184320000000000,CRO,2020-08-03 08:04:50,2020-11-01 13:29:09,2422.590000000007065,1222.508801395200000,-1200.081198604807065,Short
22.854640000000000,CRO,2020-08-03 08:14:49,2020-11-01 13:29:09,3.870153949511116,1.939444750400000,-1.930709199111116,Short
265.200000000000000,CRO,2020-08-03 08:14:49,2020-11-24 10:44:00,44.908378666666726,21.470000000000105,-23.438378666666621,Short
25.086000000000000,LINK,2020-06-24 20:42:52,2020-11-24 10:45:07,117.838223820000000,384.780000000000000,266.941776180000000,Short
