#<sold>
#Date sold,Asset,Amount,Price sold for, date bought, price bought for,exchange sold on, exchange bought on, proceeds 
Amount,Asset,Date Acquired (America/New_York),Date Sold (America/New_York),Cost Basis,Proceeds,Gain,Term
1.000000000000000,LTC,2017-08-17 17:31:13,2020-08-15 21:27:43,44.826419858850442,62.650000000000000,17.823580141149558,Long
0.007814000000000,BTC,2017-06-21 09:48:46,2020-10-21 17:17:12,21.742699124943412,100.000000000000000,78.257300875056588,Long
0.007706000000000,BTC,2017-06-21 09:48:46,2020-10-25 17:08:33,21.442185750808028,100.000000000000000,78.557814249191972,Long
1.611561250000000,LTC,2017-08-17 17:31:13,2020-11-05 12:19:17,72.240521220753842,94.904842012500000,22.664320791746158,Long
0.730815630000000,LTC,2017-08-17 17:31:13,2020-11-05 12:19:17,32.759848269790297,43.037732450700000,10.277884180909703,Long
3.755215730000000,LTC,2017-08-22 19:49:06,2020-11-05 12:19:17,177.990000000000002,221.144654339700000,43.154654339699998,Long
5.403887340000000,LTC,2017-09-02 20:27:49,2020-11-05 12:19:17,450.000000000000002,318.234925452600000,-131.765074547400002,Long
1.236520050000000,LTC,2017-09-15 18:27:56,2020-11-05 12:19:17,65.889589327818056,72.818665744500000,6.929076416681944,Long
0.057502381500000,BTC,2017-06-21 09:48:46,2020-11-05 16:30:00,160.002173012824703,874.546819947720000,714.544646934895297,Long
0.141509386800000,BTC,2017-06-21 09:48:46,2020-11-05 16:30:01,393.754289806454924,2152.199282714784000,1758.444992908329076,Long
0.134600000000000,ETH,2017-09-02 20:27:20,2020-11-28 20:21:38,49.148315358928070,77.419228000000000,28.270912641071930,Long




Amount,Asset,Date Acquired,Date Sold,Cost Basis,Proceeds -- Price Sold,Exchange Bought,Exchange Sold
4593.000000000000000,XRP,2019-12-14,2020-12-26,999.818019000000000,1343.5938230769232,COINBASE,COINBASE

0.849194900000000,ETH,2017-09-02,2020-12-23,310.077999601733925,515.0549038835713,COINBASE,COINBASE
1.000000000000000,ETH,2017-12-14,2020-12-23,714.000000000000000,606.5214285714285,COINBASE,COINBASE
1.000000000000000,ETH,2018-01-17,2020-12-23,888.210000000000000,606.5214285714285,COINBASE,COINBASE
1.010000000000000,ETH,2018-03-15,2020-12-23,607.310000000000000,612.5866428571428,COINBASE,COINBASE
0.400000000000000,ETH,2018-03-29,2020-12-23,176.176000000000000,242.6085714285714,COINBASE,COINBASE
0.990000000000000,ETH,2018-05-22,2020-12-23,625.521451500000000,600.4562142857142,COINBASE,COINBASE
0.401156650000000,ETH,2019-12-06,2020-12-23,59.063296471125000,243.31010443892853,COINBASE,COINBASE

0.193868,BTC,2017-06-21,2020-11-05,343.46809275710046,539.4437668229498,COINBASE,COINBASE
11.262000000000000,LTC,2017-09-15,2020-11-05,600.110410672181940,615.3518605746585,COINBASE,COINBASE
1.475999999999999,LTC,2017-12-22,2020-11-05,385.410000000000000,284.43257999999986,COINBASE,COINBASE
